load_zone	fuel	period	fuel_cost
S20	Coal	2035	6.83517211633673
S20	Coal	2045	7.18472372088772
S20	DistillateFuelOil	2015	25.5921300783
S20	DistillateFuelOil	2025	28.2317491229196
S20	DistillateFuelOil	2035	29.6755245008816
S20	DistillateFuelOil	2045	31.1931347422364
S20	Gas	2015	12.4355076735333
S20	Gas	2025	14.9597361778302
S20	Gas	2035	15.886271358225
S20	Gas	2045	16.6986973731205
S21	Coal	2015	5.47426191526667
S21	Coal	2025	6.37213708123938
S21	Coal	2035	6.83517211633673
S21	Coal	2045	7.18472372088772
S21	Gas	2015	12.4355076735333
S21	Gas	2025	14.9597361778302
S21	Gas	2035	15.886271358225
S21	Gas	2045	16.6986973731205
S22	Coal	2015	5.47426191526667
S22	Coal	2025	6.37213708123938
S22	Coal	2035	6.83517211633673
S22	Coal	2045	7.18472372088772
S22	DistillateFuelOil	2015	25.5921300783
S22	DistillateFuelOil	2025	28.2317491229196
S22	DistillateFuelOil	2035	29.6755245008816
S22	DistillateFuelOil	2045	31.1931347422364
S22	Gas	2015	12.4355076735333
S22	Gas	2025	14.9597361778302
S22	Gas	2035	15.886271358225
S22	Gas	2045	16.6986973731205
S4	Bio_Gas	2015	2.80718124756681
S4	Bio_Gas	2025	3.54789493222599
S4	Bio_Gas	2035	3.8811394985983
S4	Bio_Gas	2045	4.07962148502534
S4	Bio_Solid	2015	2.80718124756681
S4	Bio_Solid	2025	3.54789493222599
S4	Bio_Solid	2035	3.8811394985983
S4	Bio_Solid	2045	4.07962148502534
S4	DistillateFuelOil	2015	27.9368620125
S4	DistillateFuelOil	2025	30.8183209879144
S4	DistillateFuelOil	2035	32.3943739938349
S4	DistillateFuelOil	2045	34.0510265572584
S4	Gas	2015	12.8256100452
S4	Gas	2025	15.5011244984747
S4	Gas	2035	16.4611907065567
S4	Gas	2045	17.3030181728387
S5	Coal	2015	5.2145907349
S5	Coal	2025	6.06987526281101
S5	Coal	2035	6.51094626760502
S5	Coal	2045	6.84391691944083
S5	DistillateFuelOil	2015	30.605781459
S5	DistillateFuelOil	2025	33.7625176681282
S5	DistillateFuelOil	2035	35.4891372774474
S5	DistillateFuelOil	2045	37.3040564438299
S6	Bio_Solid	2015	2.80718124756681
S6	Bio_Solid	2025	3.54789493222599
S6	Bio_Solid	2035	3.8811394985983
S6	Bio_Solid	2045	4.07962148502534
S6	DistillateFuelOil	2015	25.5921300783
S6	DistillateFuelOil	2025	28.2317491229196
S6	DistillateFuelOil	2035	29.6755245008816
S6	DistillateFuelOil	2045	31.1931347422364
S6	Gas	2015	12.4355076735333
S6	Gas	2025	14.9597361778302
S6	Gas	2035	15.886271358225
S6	Gas	2045	16.6986973731205
S7	Coal	2015	5.47426191526666
S7	Coal	2025	6.37213708123937
S7	Coal	2035	6.83517211633673
S7	Coal	2045	7.18472372088772
S7	DistillateFuelOil	2015	30.174126449
S7	DistillateFuelOil	2025	33.2863409748343
S7	DistillateFuelOil	2035	34.9886088444141
S7	DistillateFuelOil	2045	36.777930920641
S8	Bio_Liquid	2015	2.80718124756681
S8	Bio_Liquid	2025	3.54789493222599
S8	Bio_Liquid	2035	3.8811394985983
S8	Bio_Liquid	2045	4.07962148502534
S8	Bio_Solid	2015	2.80718124756681
S8	Bio_Solid	2025	3.54789493222599
S8	Bio_Solid	2035	3.8811394985983
S8	Bio_Solid	2045	4.07962148502534
S8	DistillateFuelOil	2015	30.6189973585
S8	DistillateFuelOil	2025	33.7770966736216
S8	DistillateFuelOil	2035	35.5044618578182
S8	DistillateFuelOil	2045	37.3201647252643
S8	Gas	2015	12.4355076735333
S8	Gas	2025	14.9597361778302
S8	Gas	2035	15.886271358225
S8	Gas	2045	16.6986973731205
S8	ResidualFuelOil	2015	20.944966855
S8	ResidualFuelOil	2025	23.1052689931392
S8	ResidualFuelOil	2035	24.2868755007532
S8	ResidualFuelOil	2045	25.5289095207199
S9	Bio_Gas	2015	2.80718124756681
S9	Bio_Gas	2025	3.54789493222599
S9	Bio_Gas	2035	3.8811394985983
S9	Bio_Gas	2045	4.07962148502534
S9	Coal	2015	5.47426191526667
S9	Coal	2025	6.37213708123938
S9	Coal	2035	6.83517211633673
S9	Coal	2045	7.18472372088772
S9	DistillateFuelOil	2015	29.7099943255
S9	DistillateFuelOil	2025	32.7743374155824
S9	DistillateFuelOil	2035	34.4504213594153
S9	DistillateFuelOil	2045	36.2122204565966
S9	Gas	2015	12.4355076735333
S9	Gas	2025	14.9597361778302
S9	Gas	2035	15.886271358225
S9	Gas	2045	16.6986973731205
