TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
20200109	2015	4	6	3532.5000000000000000
20200131	2015	4	6	120.0000000000000000
20300112	2025	4	6	3532.5000000000000000
20300131	2025	4	6	120.0000000000000000
20400112	2035	4	6	3532.5000000000000000
20400124	2035	4	6	120.0000000000000000
20500112	2045	4	6	3532.5000000000000000
20500124	2045	4	6	120.0000000000000000
